Annual_mean_temp,MeanDiurnalRange,Isothermality,TempSeasonality,MaxTempWarmMo,MinTempColdMo,TempAnnRange,MeanTempWetQtr,MeanTempDryQtr,MeanTempWarmQtr,MeanTempColdQtr,AnnPercip,PercipWetMo,PercipDryMo,PercipSeasonality,PrecipWetQtr,PrecipDryQtr,PrecipWrmQtr,PrecipColdQtr,class
16.27033,11.53667,36.66158,751.8441,31.7,0.232,31.468,8.371333,16.79267,25.33333,6.72,1341,146,88,15.34382,399,281,320,371,1
15.78533,11.58133,36.82693,752.0132,31.288,-0.16,31.448,7.88,16.33533,24.86,6.247334,1368,151,88,16.3187,410,279,323,381,1
14.7205,12.51233,39.28273,734.35,30.46,-1.392,31.852,6.949333,19.93467,23.618,5.434667,1520,165,105,14.65147,459,333,343,425,1
16.58733,11.458,36.52767,749.7255,31.88,0.512,31.368,8.716,17.12733,25.598,7.036666,1298,142,83,15.8605,389,274,318,355,1
14.20233,12.50133,39.26792,736.1628,30.012,-1.824,31.836,6.333333,19.47333,23.124,4.935333,1557,169,106,14.58862,466,333,357,432,1
16.11167,11.75867,36.92585,759.1539,31.728,-0.116,31.844,8.121333,16.65133,25.25467,6.470667,1388,152,92,15.49481,416,292,323,387,1
16.44383,11.511,36.79517,746.7538,31.76,0.476,31.284,8.588,16.99533,25.43533,6.949333,1309,143,85,15.60213,393,277,319,359,1
17.66667,12.85067,41.1511,712.1682,32.736,1.508,31.228,10.14867,18.36467,26.21933,8.652,1296,149,61,22.52,395,236,334,370,1
16.5245,11.671,36.92887,753.4641,31.948,0.344,31.604,8.626667,17.05933,25.61067,6.969333,1281,141,80,16.92015,385,261,312,354,1
16.5245,11.671,36.92887,753.4641,31.948,0.344,31.604,8.626667,17.05933,25.61067,6.969333,1281,141,80,16.92015,385,261,312,354,1
16.5245,11.671,36.92887,753.4641,31.948,0.344,31.604,8.626667,17.05933,25.61067,6.969333,1281,141,80,16.92015,385,261,312,354,1
16.58733,11.458,36.52767,749.7255,31.88,0.512,31.368,8.716,17.12733,25.598,7.036666,1298,142,83,15.8605,389,274,318,355,1
16.38833,12.19133,38.52652,737.6756,31.956,0.312,31.644,8.634666,16.96933,25.3,7.055333,1265,139,82,16.1596,383,262,315,348,1
16.3985,11.497,36.73632,747.6272,31.74,0.444,31.296,8.533334,16.942,25.40333,6.896667,1315,143,86,15.23193,393,278,319,361,1
16.08033,11.644,36.93225,751.1157,31.552,0.024,31.528,8.186,16.61933,25.13,6.546,1379,150,91,15.19124,411,290,324,383,1
16.36233,11.49333,36.55175,752.9652,31.716,0.272,31.444,8.464666,16.90067,25.42867,6.79,1299,142,82,16.61924,388,264,315,361,1
15.19983,12.07367,37.97706,750.0052,31.044,-0.748,31.792,7.292666,15.83867,24.26467,5.692667,1395,157,88,17.17011,422,284,322,387,1
15.8275,13.171,39.78193,760.045,32.32,-0.788,33.108,7.852667,19.80933,25.104,6.295333,1244,132,87,12.8785,369,281,300,338,1
15.8275,13.171,39.78193,760.045,32.32,-0.788,33.108,7.852667,19.80933,25.104,6.295333,1244,132,87,12.8785,369,281,300,338,1
15.24883,11.983,37.6256,753.1547,30.976,-0.872,31.848,7.306666,15.83667,24.36267,5.734667,1448,161,96,16.26307,439,304,331,406,1
15.87717,12.23167,38.28617,748.4329,31.652,-0.296,31.948,7.994667,16.44067,24.906,6.380667,1346,149,94,15.25343,408,288,315,372,1
16.44383,11.511,36.79517,746.7538,31.76,0.476,31.284,8.588,16.99533,25.43533,6.949333,1309,143,85,15.60213,393,277,319,359,1
16.37383,11.41633,36.48323,748.4481,31.684,0.392,31.292,8.522,16.928,25.39,6.857334,1300,142,83,16.03913,388,269,316,358,1
16.28567,11.70067,37.30604,742.0375,31.712,0.348,31.364,8.48,16.83333,25.226,6.86,1335,146,90,14.99936,400,284,320,367,1
